رقم السورة,الاسم بالعربية,الاسم باللاتينية (Transliteration)
4,النساء,An-Nisa
5,المائدة,Al-Ma'idah
6,الأنعام,Al-An'am
7,الأعراف,Al-A'raf
8,الأنفال,Al-Anfal
9,التوبة,At-Tawbah
10,يونس,Yunus
11,هود,Hud
12,يوسف,Yusuf
13,الرعد,Ar-Ra'd
14,إبراهيم,Ibrahim
15,الحجر,Al-Hijr
16,النحل,An-Nahl
17,الإسراء,Al-Isra
21,الأنبياء,Al-Anbiya
22,الحج,Al-Hajj
23,المؤمنون,Al-Mu'minun
27,النمل,An-Naml
28,القصص,Al-Qasas
29,العنكبوت,Al-'Ankabut
33,الأحزاب,Al-Ahzab
34,سبأ,Saba
35,فاطر,Fatir
36,يس,Ya-Sin
37,الصافات,As-Saffat
38,ص,Sad
39,الزمر,Az-Zumar
41,فصلت,Fussilat
45,الجاثية,Al-Jathiyah
49,الحجرات,Al-Hujurat
51,الذاريات,Adh-Dhariyat
60,الممتحنة,Al-Mumtahanah
62,الجمعة,Al-Jumu'ah
68,القلم,Al-Qalam
72,الجن,Al-Jinn
73,المزمل,Al-Muzzammil
74,المدثر,Al-Muddaththir
76,الإنسان,Al-Insan
77,المرسلات,Al-Mursalat
80,عبس,Abasa
87,الأعلى,Al-A'la
88,الغاشية,Al-Ghashiyah
93,الضحى,Ad-Duhaa
97,القدر,Al-Qadr
98,البينة,Al-Bayyinah
100,العاديات,Al-'Adiyat
101,القارعة,Al-Qari'ah
102,التكاثر,At-Takathur
103,العصر,Al-'Asr
104,الهمزة,Al-Humazah
105,الفيل,Al-Fil
106,قريش,Quraysh
107,الماعون,Al-Ma'un
110,النصر,An-Nasr
111,المسد,Al-Masad
112,الإخلاص,Al-Ikhlas
113,الفلق,Al-Falaq
114,الناس,An-Nas
,,
Sources:,,
https://drive.google.com/open?id=1IFhzoUHFukR92shremi_l55C1Ki_gI9x,,